"id","parent_id","name","a_canceled","a_count","a_issued_l","a_issued_t","a_stolen","b_canceled","b_count","b_early","b_fixed","b_inside","b_invalid","b_outside","b_portable","b_stolen","b_valid","b_wtf","v_abs","v_count","vote_count_1","vote_count_2","vote_count_3","vote_count_4","vote_count_5","vote_count_6","vote_count_7"
77000100160000,77000100000000,"район Сокольники",183,1155,972,78,0,6333,31085,0,23203,23246,348,1508,1507,0,24362,2,1317,38781,2779,2181,347,5359,2781,10750,165
77000200920000,77000200000000,"район Лефортово",420,1550,1130,127,0,15386,47970,0,31018,31365,574,1219,1219,0,31663,0,1999,52435,2880,3129,263,6732,1420,17096,143
77000200960000,77000200000000,"Нижегородский район",157,600,443,29,0,2869,20100,0,16421,16479,207,752,752,0,16966,0,570,25339,1827,1281,229,2340,616,10412,261
77000200970000,77000200000000,"район Печатники",147,1065,918,36,0,18691,49000,0,29440,29599,674,710,710,0,29476,0,948,55881,2760,3892,280,5410,1909,15068,157
77000200980000,77000200000000,"Рязанский район",186,1347,1161,50,0,12360,48500,0,34945,35148,603,992,992,0,35334,0,864,60290,3226,2768,422,6512,2138,20041,227
77000200990000,77000200000000,"район Текстильщики",353,1470,1117,45,0,6212,43799,0,36654,36825,738,762,760,0,36676,0,838,59422,4010,3372,494,6033,1864,20561,342
77000201000000,77000200000000,"Южнопортовый район",190,892,702,41,0,9070,35800,0,24926,25254,384,1476,1476,0,26018,0,745,43001,3462,2963,371,4908,2737,11360,217
77000201010000,77000200000000,"Академический район",300,1300,1000,100,0,19288,56800,0,36386,36761,711,751,751,0,36426,0,1096,60543,4846,3154,485,7160,5580,14802,399
77000201020000,77000200000000,"Гагаринский район",229,960,731,20,0,13046,40000,0,26010,26324,481,630,630,0,26159,0,1128,47655,4554,2057,406,7020,5523,6315,284
77000201050000,77000200000000,"район Котловка",126,945,819,39,0,2643,31350,0,27898,28059,354,648,648,0,28192,0,807,39912,2169,2019,277,4116,1306,18099,206
77000201160000,77000200000000,"Даниловский район",55,1240,1185,200,0,8957,47178,0,37124,37235,741,986,986,0,37369,0,1226,53899,3550,3393,354,6479,2169,21113,311
77000201170000,77000200000000,"Донской район",167,615,448,134,0,3690,26000,0,21447,21596,293,714,714,0,21868,0,880,30094,1765,1958,153,2755,1144,13974,119
77000201210000,77000200000000,"район Нагатино-Садовники",119,860,741,295,0,4468,39290,0,33845,33909,701,913,913,0,34057,0,1138,47429,2936,2067,380,4240,995,23147,292
77000201220000,77000200000000,"район Нагатинский затон",122,1500,1378,400,0,15381,62450,0,46069,46073,571,996,996,0,46494,0,1198,67359,4100,3865,804,6513,2129,28720,363
77000201230000,77000200000000,"Нагорный район",407,1463,1056,137,0,11792,44800,0,32341,32352,629,656,656,0,32368,0,1828,46135,2952,2438,352,4983,2083,19314,246
77000201290000,77000200000000,"район Чертаново Северное",573,1580,1007,350,0,14679,58900,0,42972,43215,712,1006,1006,0,43266,0,693,64045,4908,3644,721,7757,3260,22551,425
77000300170000,77000300000000,"район Внуково",110,300,190,10,0,3407,13600,0,9786,10007,332,186,186,0,9640,0,550,17060,1110,963,108,2142,375,4890,52
77000300190000,77000300000000,"район Крылатское",292,1165,873,18,0,10589,48700,0,37526,37696,480,415,415,0,37461,0,561,55053,3943,2478,499,7669,3791,18754,327
77000300200000,77000300000000,"район Кунцево",318,1875,1557,35,0,30141,83040,0,49628,50142,731,2757,2757,0,51654,0,1109,88782,6163,3740,750,10130,4115,26346,410
77000300220000,77000300000000,"Можайский район",738,2000,1262,43,0,26211,75800,0,47880,48476,877,1113,1106,0,48109,0,1067,86599,4574,3931,512,8623,2853,27252,364
77000300240000,77000300000000,"район Ново-Переделкино",226,1384,1158,114,0,23480,59376,0,35341,35419,739,477,477,0,35079,0,620,71843,5128,4644,706,8785,3068,12417,331
77000300250000,77000300000000,"район Очаково-Матвеевское",338,1340,1002,194,0,23412,60850,0,35910,36299,687,1139,1138,0,36361,0,963,67176,3768,3326,523,6094,2421,19934,295
77000300260000,77000300000000,"район Проспект Вернадского",273,870,597,23,0,6285,31650,0,24094,24429,408,936,936,0,24622,0,521,38226,2713,1488,259,4221,2541,13241,159
77000300270000,77000300000000,"район Раменки",344,1571,1227,125,0,18095,67050,0,47559,47964,606,991,991,0,47944,0,1599,77242,5628,2934,593,10519,4252,23626,392
77000300280000,77000300000000,"район Солнцево",327,1435,1108,88,0,16358,56900,0,39615,39715,799,827,826,0,39642,0,787,67374,3479,3002,414,6477,1805,24247,218
77000300290000,77000300000000,"район Тропарево-Никулино",395,1470,1075,40,0,21498,64600,0,42278,42468,829,634,634,0,42083,0,964,68318,5856,3491,632,9683,6626,15355,440
77000300300000,77000300000000,"район Филевский парк",387,1030,643,26,0,13369,43500,0,29341,29581,463,550,548,0,29426,0,625,52233,2864,2607,350,6153,1690,15507,255
